patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Phạm,085117840039,05/09/1945,0375953640,maijohn@example.net,"338 John Số
Thị xã JaneThành phố, 895667",Tiểu đường,5.75,Quý cô Thành Vũ,28/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Kim Trần,626210494840,12/09/1961,0914369901,jane07@example.net,"849 Hoàng Làng
Thành phố JohnHuyện, 183667",Tiểu đường,7.57,Cô Hồng Vũ,23/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,Trung Đức Trần,533314621316,17/12/1979,0823869666,johnle@example.com,"5 John Đường
JaneHuyện, 169403",Tiểu đường,4.96,Bà Mai Dương,13/03/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Hoàng Phạm,242659275112,17/11/1989,0513704014,jane96@example.com,"7 John Ngõ
Quận JaneXã, 166613",Huyết áp cao,7.03,Kim Mai Mai,15/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,Hải Mai,724354599350,23/04/1990,0369380740,john46@example.org,"2 Jane Làng
Huyện JohnXã, 916449",Khỏe mạnh,11.75,Duyên Đặng,29/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Quang Nguyễn,388983787105,28/01/1953,0969120388,tranjane@example.org,"Quận JaneXã
89 Phạm Làng, 847581",Tiểu đường,6.5,Thành Đặng,20/03/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Cô Linh Nguyễn,652799544249,10/06/1978,0973303726,johnnguyen@example.org,"105 John Khu
JohnXã, 238739",Tiểu đường,11.86,Anh Châu Bùi,04/02/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Kim Mai Nguyễn,352954423348,25/08/1984,0860506610,nguyenjane@example.net,"338 Lê Số
Huyện JaneQuận, 179046",Khỏe mạnh,10.2,Ông Hưng Mai,31/05/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Chị Hồng Dương,329225375458,19/08/1970,0553171472,knguyen@example.com,"74 Mai Dãy
Quận JaneQuận, 161324",Tim mạch,10.21,Yến Đặng,11/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Cô Phương Trần,461707381827,23/08/1997,0331093692,hoangjohn@example.net,"939 John Số
JaneQuận, 802258",Tiểu đường,3.6,Quang Đức Bùi,24/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,An Dương,733361085030,02/11/1980,0343806139,tranjohn@example.net,"354 Jane Khu
Huyện JohnQuận, 377312",Tiểu đường,9.11,Hà Mai,28/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Trung Đức Mai,438032137985,27/02/1971,0757091379,tranjane@example.com,"427 Mai Đường
Thành phố JohnXã, 137778",Tim mạch,6.68,Nhiên Trí Bùi,23/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Xuân Đặng,196868699611,30/10/1950,0361698018,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Khỏe mạnh,7.06,Huy Hải Vũ,29/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Ánh Dương,112737382321,24/09/1951,0515259686,tdang@example.org,"54 Jane Tổ
JaneThành phố, 220944",Tiểu đường,11.19,Phúc Hoàng,23/06/2026
98b8e4cc-1bc0-44fc-89cb-394243f59a85,Thành Tấn Bùi,323339149216,30/09/1979,0847740818,buijohn@example.com,"883 Bùi Ngõ
JanePhường, 989208",Tiểu đường,9.07,Nhật Vũ,02/04/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,736516372934,01/07/1949,0397772776,nle@example.net,"43 Hoàng Tổ
JaneThị xã, 808446",Tiểu đường,10.44,Quý cô Vi Lê,29/04/2026
a2086977-a9f2-4336-83f4-a9a948a639d0,Vũ Hải Vũ,276653063985,22/11/1951,0387437779,johnnguyen@example.org,"1 Bùi Làng
JaneThị xã, 355836",Huyết áp cao,3.59,Cô Hà Bùi,09/02/2026
8498e113-b227-462c-b53d-4330cdda24ba,Ông Tùng Phạm,611750712363,21/06/2002,0533520348,duongjohn@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Khỏe mạnh,5.46,Bà Vi Mai,29/03/2026
13d5f2f7-709b-4d97-864c-04af3d3f3799,Quang Vũ,867408928247,05/01/1960,0795031398,lejohn@example.org,"3 Jane Số
JaneThị xã, 165290",Khỏe mạnh,11.38,Quý cô Hồng Hoàng,20/06/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Nhật Văn Đặng,750314705466,17/04/1957,0956615248,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Tim mạch,9.24,Nhật Xuân Dương,15/06/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Khoa Văn Trần,444189603388,01/06/1982,0869482421,janele@example.org,"755 Vũ Số
JohnThị xã, 120324",Khỏe mạnh,3.65,Linh Phạm,28/04/2026
